date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,,
12/23/2020,France eases travel restrictions on the U.K.,(Want to get this briefing by email? Here’s the sign-up.),France eases travel restrictions on the U.K.,Briefing,NA,NYTNow,By Natasha Frost,Your Wednesday Briefing,NA,NA,briefing,https://www.nytimes.com/2020/12/22/briefing/coronavirus-israel-election-gibbons.html,,,
12/22/2020,"At least 30 journalists were killed this year, according to the Committee to Protect Journalists, with 21 slain as a direct result of their work.","MEXICO CITY — The number of journalists killed as a result of their work more than doubled in 2020, an international media watchdog group said on Tuesday, with armed conflict and gang violence making Mexico and Afghanistan among the deadliest countries for reporters globally.","At least 30 journalists were killed this year, according to the Committee to Protect Journalists, with 21 slain as a direct result of their work.",World,Americas,Foreign,By Oscar Lopez,Number of Journalists Killed for Their Reporting Doubled in 2020,Number of Journalists Killed  For Reporting Doubled in ’20,NA,News,https://www.nytimes.com/2020/12/22/world/americas/mexico-journalists-killings-double.html,,,
12/20/2020,"In Afghanistan, life goes on as though the coronavirus never existed. “Fake news,” some say, even as a second wave has brought on a surge of new cases and hospitalizations.","KABUL, Afghanistan — For Mohammad Wakil, 23, social distancing is an abstract concept. Every working day, he shakes hands with scores of customers at the teeming bazaar where he sells secondhand shoes. He handles filthy Afghan bank notes. He disdains hand sanitizer. A mask? Forget about it.","In Afghanistan, life goes on as though the coronavirus never existed. “Fake news,” some say, even as a second wave has brought on a surge of new cases and hospitalizations.",World,Asia Pacific,Foreign,By David Zucchino and Fahim Abed,"‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought.",‘It’s a Lie’: Denial and Skepticism Permeate a Nation Embroiled in War,NA,News,https://www.nytimes.com/2020/12/20/world/asia/covid-afghanistan-coronavirus.html,,,
10/8/2020,"At least 369 pro-government forces and 212 civilians were killed in Afghanistan in October, marking the highest civilian death toll in a single month since September 2019.","At least 63 pro-government forces and 78 civilians were killed during the past week. The deadliest attack took place in Kabul, the capital, where a deadly explosion struck a tutoring center in Kabul’s Dasht-e-Barchi area, a Shiite neighborhood, killing 40 civilians and wounding 70 others. The Islamic State claimed responsibility for the attack. In Nimruz Province, the Taliban attacked and captured a military base in Delaram District, killing 26 soldiers and taking five others prisoner. All weapons and equipment in the base were stolen by insurgents and none of the soldiers there survived the attack.","At least 369 pro-government forces and 212 civilians were killed in Afghanistan in October, marking the highest civilian death toll in a single month since September 2019.",Magazine,NA,Magazine,By Fahim Abed and Fatima Faizi,Afghan War Casualty Report: October 2020,NA,at war,News,https://www.nytimes.com/2020/10/08/magazine/afghan-war-casualty-report-october-2020.html,,,
12/1/2020,The Biden administration should support a regional effort to stabilize Afghanistan.,"For years, the stalemate in Afghanistan has left American officials torn between two bad options: Prop up a corrupt, hopelessly divided Afghan government indefinitely or admit defeat and go home, leaving the country to its fate. At 19 years and counting, the U.S.-led effort in Afghanistan is already the longest war in American history. A consensus has been forming that it is time for U.S. troops to come home. But the speed of the withdrawal and whether any residual force will be left behind to carry out counterterrorism operations remain open questions.",The Biden administration should support a regional effort to stabilize Afghanistan.,Opinion,NA,Editorial,By The Editorial Board,How to End a Forever War,A Responsible Exit From Afghanistan,NA,Editorial,https://www.nytimes.com/2020/11/30/opinion/afghanistan-withdrawal-biden.html,,,
11/29/2020,"President Ashraf Ghani is holding up a tentative agreement on the talks’ framework, some officials say. His aides say no agreement was near.","President Ashraf Ghani of Afghanistan has refused to let peace talks move forward even though the Taliban and government negotiators have reached a tentative agreement on the talks’ guiding principles, Afghan officials say, further stalling the process despite nearing an apparent breakthrough after months of effort.","President Ashraf Ghani is holding up a tentative agreement on the talks’ framework, some officials say. His aides say no agreement was near.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"Afghan Leader Digs In on Peace Talks Despite Progress, Officials Say","Afghan Leader Hampers Peace Talks, Officials Say",NA,News,https://www.nytimes.com/2020/11/29/world/asia/afghanistan-taliban-peace-talks.html,,,
11/27/2020,A scathing report revealed that members of the special forces had waged a campaign to cover up unlawful killings of Afghan civilians.,"MELBOURNE, Australia — One week after the release of a damning report that revealed Australian special forces had unlawfully killed helpless Afghan civilians and waged a campaign to cover up the slaughter, the military has begun proceedings to dismiss 13 soldiers serving in the force.",A scathing report revealed that members of the special forces had waged a campaign to cover up unlawful killings of Afghan civilians.,World,Australia,Foreign,By Yan Zhuang,Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan,Australian Military to Dismiss Soldiers After Report on Killings And Cover-Up in Afghanistan,NA,News,https://www.nytimes.com/2020/11/26/world/australia/military-troops-afghanistan.html,,,
12/9/2020,"In this documentary, the musician PJ Harvey travels to Kabul, Kosovo and Washington, D.C. to find inspiration.","While making her 2016 album “The Hope Six Demolition Project,” the musician PJ Harvey did something rare: She opened her recording process to public viewing. She and her team constructed a studio in London that allowed fans of the musician, or the merely curious, to look in on Harvey and her musical collaborators as they laid down tracks.","In this documentary, the musician PJ Harvey travels to Kabul, Kosovo and Washington, D.C. to find inspiration.",Movies,NA,Weekend,By Glenn Kenny,‘A Dog Called Money’ Review: Lyrical Encounters With PJ Harvey,A Dog Called Money,NA,Review,https://www.nytimes.com/2020/12/09/movies/a-dog-called-money-review.html,,,
11/24/2020,"Intense violence, including a deadly market bombing on Tuesday in one of the few remaining Afghan havens, Bamiyan, has Afghan officials pleading for continued assistance.","HERAT, Afghanistan — In one city, a gilded hall filled with suited Afghan and Western officials served as a forum to discuss the need for a lasting peace in Afghanistan, even as donors there lowered aid targets for the country out of concern about corruption and uncertainty.","Intense violence, including a deadly market bombing on Tuesday in one of the few remaining Afghan havens, Bamiyan, has Afghan officials pleading for continued assistance.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Nick Cumming-Bruce,Donors Pledge Less Aid to Afghanistan During a Violent Chapter,"As Attacks Continue in Afghanistan, World Donors Pledge Less Aid",NA,News,https://www.nytimes.com/2020/11/24/world/asia/afghanistan-bamiyan-donors.html,,,
11/24/2020,We lost.,"The Defense Department recently announced troop withdrawals by Jan. 15 that will reduce American forces in Iraq and Afghanistan to 2,500 each from their one-time highs of some 170,000 and 100,000 troops, respectively. This drawdown makes explicit what those of us who served in the military have long realized: We lost.",We lost.,Opinion,NA,OpEd,By Timothy Kudo,The Truth That Iraq and Afghanistan Veterans Know,Two Costly Wars and a Legacy of Shame,NA,Op-Ed,https://www.nytimes.com/2020/11/24/opinion/iraq-afghanistan-troop-withdrawal.html,,,
12/1/2020,"When Australia’s leader demanded an apology for a tweet by a Chinese official, his response reflected the insecurities facing many countries in dealing with China.","SYDNEY, Australia — For the past few years, Australia has positioned itself at the front of a global effort to stand up to China. It was the first country to ban Huawei’s 5G technology, to pass foreign interference laws aimed at curbing Chinese influence, and to call for an international inquiry into the source of the coronavirus.","When Australia’s leader demanded an apology for a tweet by a Chinese official, his response reflected the insecurities facing many countries in dealing with China.",World,Australia,Foreign,By Damien Cave,"The World in a Vise: Sounding the Alarm on China, Then Running for Shelter","Sounding Alarms, Seeking Conciliation: Australia Is Conflicted on China",news analysis,News,https://www.nytimes.com/2020/12/01/world/australia/china-australia-morrison-tweet.html,,,
12/1/2020,"When the Taliban halted education for girls, this young activist fought to find her voice as a writer. Now she’s using it to make herself heard.","Welcome to Group Text, a monthly column for readers and book clubs about the novels, memoirs and short-story collections that make you want to talk, ask questions, and dwell in another world for a little bit longer.","When the Taliban halted education for girls, this young activist fought to find her voice as a writer. Now she’s using it to make herself heard.",Books,NA,BookReview,By Elisabeth Egan,"Homeira Qaderi Wants Her Son to Know Her, So She Wrote a Book","‘Dancing in the Mosque,’ by Homeira Qaderi",GROUP TEXT,News,https://www.nytimes.com/2020/12/01/books/group-text-homeira-qaderi-dancing-in-the-mosque.html,,,
11/23/2020,The game’s cultlike following in Afghanistan inhabits a real-life version of its violent virtual reality.,"KABUL, Afghanistan — Rifle fire, hurried footsteps and distant explosions. The rat-a-tat of a firefight. Cars mangled from grenades. The young man was transfixed.",The game’s cultlike following in Afghanistan inhabits a real-life version of its violent virtual reality.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,‘I Forget About the World:’ Afghan Youth Find Escape in a Video Game,"Surrounded by Violence, Yet Captivated by a Virtual Battlefield",Afghanistan Dispatch,News,https://www.nytimes.com/2020/11/23/world/asia/afghanistan-video-games-pubg-playerunknown-battlegrounds.html,,,
11/30/2020,"Prime Minister Scott Morrison of Australia condemned a Chinese official’s tweet that showed an Australian soldier with a knife to the throat of an Afghan child, labeling it a “disgusting slur” and demanded an apology.","Prime Minister Scott Morrison of Australia condemned a Chinese official’s tweet that showed an Australian soldier with a knife to the throat of an Afghan child, labeling it a “disgusting slur” and demanded an apology.","Prime Minister Scott Morrison of Australia condemned a Chinese official’s tweet that showed an Australian soldier with a knife to the throat of an Afghan child, labeling it a “disgusting slur” and demanded an apology.",World,Australia,,By The Associated Press,Australia Demands Apology After Chinese Official’s ‘Repugnant’ Tweet,NA,NA,Video,https://www.nytimes.com/video/world/australia/100000007478946/australia-apology-china-twitter.html,,,
11/30/2020,"The post, with a doctored photograph showing an Australian soldier with a knife to the throat of an Afghan child, sent relations between the two countries to a new low.","MELBOURNE, Australia — Labeling it a “disgusting slur,” Prime Minister Scott Morrison of Australia denounced on Monday what he called a fabricated image posted to Twitter by a Chinese official that showed an Australian soldier with a knife to the throat of an Afghan child.","The post, with a doctored photograph showing an Australian soldier with a knife to the throat of an Afghan child, sent relations between the two countries to a new low.",World,Australia,Foreign,By Livia Albeck-Ripka and Austin Ramzy,Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’,Australia Condemns Chinese Official’s ‘Disgusting Slur’ of Soldiers,NA,News,https://www.nytimes.com/2020/11/30/world/australia/china-tweet-soldier.html,,,
11/21/2020,"Secretary of State Mike Pompeo, in Doha, Qatar, met with representatives of the Afghan government and the Taliban, who are at an impasse in peace talks.","KABUL, Afghanistan — Secretary of State Mike Pompeo on Saturday visited the Gulf nation of Qatar, where he met with Afghan and Taliban negotiators who are trying to break a deadlock in their stalled peace negotiations. He landed hours after a deadly rocket attack in Kabul, the latest evidence of the violence spiraling across Afghanistan.","Secretary of State Mike Pompeo, in Doha, Qatar, met with representatives of the Afghan government and the Taliban, who are at an impasse in peace talks.",World,Middle East,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul",Pompeo Sees Negotiators Just After Kabul Attack,NA,News,https://www.nytimes.com/2020/11/21/world/middleeast/afghanistan-kabul-rocket-attack.html,,,
11/16/2020,"Facing the end of his time in power, the president is pushing to accelerate withdrawals from counterterrorism conflicts. He campaigned on ending the longstanding wars.","WASHINGTON — President Trump is expected to order the U.S. military to withdraw thousands of troops from Afghanistan, Iraq and Somalia by the time he leaves office in January, using the end of his time in power to significantly pull back American forces from far-flung conflicts around the world.","Facing the end of his time in power, the president is pushing to accelerate withdrawals from counterterrorism conflicts. He campaigned on ending the longstanding wars.",U.S.,Politics,Washington,"By Eric Schmitt, Thomas Gibbons-Neff, Charlie Savage and Helene Cooper","Trump Is Said to Be Preparing to Withdraw Troops From Afghanistan, Iraq and Somalia","Trump Is Said to Plan Reduction of Forces in Afghanistan, Iraq and Somalia",NA,News,https://www.nytimes.com/2020/11/16/us/politics/trump-troop-withdrawal-afghanistan-somalia-iraq.html,,,
11/18/2020,"The Pentagon has announced a reduction down to 2,500 U.S. troops in Afghanistan before President-elect Biden takes office. Afghan officials fear the cuts will encourage the Taliban to keep fighting.","KANDAHAR, Afghanistan — Had it not been for dozens of U.S. airstrikes in recent weeks, the southern hub city Kandahar would be under siege, after Taliban fighters threatened to overrun several surrounding districts, security officials say.","The Pentagon has announced a reduction down to 2,500 U.S. troops in Afghanistan before President-elect Biden takes office. Afghan officials fear the cuts will encourage the Taliban to keep fighting.",World,Asia Pacific,Foreign,"By Thomas Gibbons-Neff, Najim Rahim and Fatima Faizi","U.S. Troops Are Packing Up, Ready or Not",U.S. to Halve Afghan Force by Inauguration Day,NA,News,https://www.nytimes.com/2020/11/17/world/asia/afghanistan-troop-withdrawal.html,,,
11/19/2020,The findings of a four-year military inquiry paint a brutal picture of a special forces culture of rewarding the killing of innocents and prisoners and methodically covering it up.,"MELBOURNE, Australia — They were the elite of the elite among Australian soldiers, with a record of daring raids in Afghanistan. But a twisted and extreme warrior culture was being instilled, driving the commandos to glorify atrocity as they waged a methodical campaign to kill helpless Afghans and cover it up.",The findings of a four-year military inquiry paint a brutal picture of a special forces culture of rewarding the killing of innocents and prisoners and methodically covering it up.,World,Australia,Foreign,By Yan Zhuang and Thomas Gibbons-Neff,Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans,Blood Lust and Demigods:Behind Slaughter of AfghansBy Elite Australian Squadron,NA,News,https://www.nytimes.com/2020/11/18/world/australia/afghanistan-war-crimes.html,,,
11/24/2020,A former vice foreign minister of China proposes a way forward for the world’s two leading powers.,BEIJING — The domestic politics of major countries are never kept within their borders — and the future policy orientation of the United States has become a hot topic for many people in China.,A former vice foreign minister of China proposes a way forward for the world’s two leading powers.,Opinion,NA,OpEd,By Fu Ying,Cooperative Competition Is Possible Between China and the U.S.,China and U.S. Can Have Cooperative Competition,NA,Op-Ed,https://www.nytimes.com/2020/11/24/opinion/china-us-biden.html,,,
11/22/2020,An incursion that devastated a prized crop shows the loss and uncertainty that many Afghans endure.,"ARGHANDAB, Afghanistan — Crack a pomegranate in half and its blood-red seed-filled chambers make it look almost like a broken heart. In Arghandab district, which in Afghanistan is almost synonymous with the fruit, a Taliban offensive has cut the heart out of the harvest season, leaving farming families desperate.",An incursion that devastated a prized crop shows the loss and uncertainty that many Afghans endure.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Taimoor Shah,"Where the Pomegranate Harvest Is Life, the Taliban Brought Ruin",Taliban Attacks Ravage Pomegranate Country,NA,News,https://www.nytimes.com/2020/11/22/world/asia/Afghanistan-pomegranate-taliban.html,,,
11/13/2020,President Trump’s supporters hope he is the president to end America’s longest war.,WASHINGTON — Consistent is not the adjective many would use to describe President Trump’s national security policy. But there is one goal he has nurtured since the 2016 campaign: withdrawing all American troops from Afghanistan.,President Trump’s supporters hope he is the president to end America’s longest war.,U.S.,Politics,Washington,By Jennifer Steinhauer,Trump Pentagon Purge Could Accelerate His Goal to Pull Troops From Afghanistan,President’s Pentagon Purge Could Accelerate Pullout Of Troops in Afghanistan,NA,News,https://www.nytimes.com/2020/11/13/us/politics/trump-afghanistan-troops.html,,,
11/12/2020,"Afghans fear the Taliban are subverting the peace process, and hope a Biden administration will bring more accountability.","KABUL, Afghanistan — Three U.S. presidents and 19 years later, it is President-elect Joseph R. Biden’s turn to inherit the American war in Afghanistan. The question that is leaving Afghans hanging is just how quickly he will remove troops.","Afghans fear the Taliban are subverting the peace process, and hope a Biden administration will bring more accountability.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help",Afghans Look to Biden for Stability as U.S. Troops Leave,NA,News,https://www.nytimes.com/2020/11/12/world/asia/biden-afghanistan-withdrawal.html,,,
11/21/2020,"At a wide range of departments and agencies, Mr. Trump’s political appointees are going to extraordinary lengths to try to prevent Mr. Biden from rolling back the president’s legacy.","WASHINGTON — Voters have decided that President-elect Joseph R. Biden Jr. should guide the country through the next four years. But on issues of war, the environment, criminal justice, trade, the economy and more, President Trump and top administration officials are doing what they can to make changing direction more difficult.","At a wide range of departments and agencies, Mr. Trump’s political appointees are going to extraordinary lengths to try to prevent Mr. Biden from rolling back the president’s legacy.",U.S.,Politics,Washington,By Michael D. Shear,Trump Using Last Days to Lock In Policies and Make Biden’s Task More Difficult,President Moves To Hem Biden In On U.S. Policies,NA,News,https://www.nytimes.com/2020/11/21/us/politics/trump-biden-transition.html,,,
11/18/2020,A Times correspondent reflects on what he’s learned from growing up with and reporting on the extremists in Afghanistan for some 25 years.,"President Trump is pushing the military to accelerate the withdrawal of American troops from Afghanistan, all but guaranteeing a major place for the Taliban in the country’s future.",A Times correspondent reflects on what he’s learned from growing up with and reporting on the extremists in Afghanistan for some 25 years.,Podcasts,The Daily,Podcasts,"By Michael Barbaro, Stella Tan, Luke Vander Ploeg, Rachelle Bonja, Dave Shaw and Mike Benoist","The Rise, Fall and Resurrection of the Taliban",NA,NA,News,https://www.nytimes.com/2020/11/18/podcasts/the-daily/afghanistan-taliban-us-withdrawal.html,,,
11/6/2020,"Zarifa Ghafari, one of the few female mayors in Afghanistan, has been subjected to death threats and assassination attempts, and believes her father was gunned down because of her.","KABUL, Afghanistan — Zarifa Ghafari, one of Afghanistan’s first female mayors, had been expecting to be assassinated. But on Thursday night, it was her father who was cut down by gunmen in front of his house in Kabul, the capital.","Zarifa Ghafari, one of the few female mayors in Afghanistan, has been subjected to death threats and assassination attempts, and believes her father was gunned down because of her.",World,Asia Pacific,Foreign,By Fatima Faizi and Thomas Gibbons-Neff,"An Afghan Mayor Expected to Die. Instead, She Lost Her Father.",NA,NA,News,https://www.nytimes.com/2020/11/06/world/asia/afghanistan-mayor-zarifa-ghafari.html,,,
11/7/2020,"The assaults not only highlight a city under siege, they have exposed a growing, and very public, discontent with an Afghan government unable to protect its people.","KABUL, Afghanistan — A famous journalist, the father of an oft-threatened mayor and at least 22 others, many of them university students — all were killed within the span of a week in Kabul, Afghanistan’s capital, the victims of targeted assassinations and a terrorist attack.","The assaults not only highlight a city under siege, they have exposed a growing, and very public, discontent with an Afghan government unable to protect its people.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,"String of Attacks Have People in Kabul Pointing a Finger, at the Government",Attacks in Kabul Have Afghans Pointing a Finger at Their Government,NA,News,https://www.nytimes.com/2020/11/07/world/asia/kabul-afghanistan-tolo-anchor-killed.html,,,
11/12/2020,"So far, there is no evidence the appointees harbor a secret agenda or arrived with an action plan. But their sudden appearance amounts to a purge of the Pentagon’s top civilian hierarchy without recent precedent.",WASHINGTON — President Trump’s abrupt installation of a group of hard-line loyalists into senior jobs at the Pentagon has elevated officials who have pushed for more aggressive actions against Iran and for an imminent withdrawal of all American forces from Afghanistan over the objections of the military.,"So far, there is no evidence the appointees harbor a secret agenda or arrived with an action plan. But their sudden appearance amounts to a purge of the Pentagon’s top civilian hierarchy without recent precedent.",U.S.,Politics,Washington,By David E. Sanger and Eric Schmitt,Trump Stacks the Pentagon and Intel Agencies With Loyalists. To What End?,"Atop Pentagon, A Fresh Group Of Hard-Liners",NA,News,https://www.nytimes.com/2020/11/11/us/politics/trump-pentagon-intelligence-iran.html,,,
11/21/2020,"How we use non-English tape to take you to new places. Plus, our recommendations for your upcoming holiday weekend.","Hey, hey everybody. Happy Friday! We hope you’re getting some time off next week, wherever you are. Because the newsletter will be off next week, we wanted to make sure we loaded this week’s edition with our ideas of things to do (and cook!) over the Thanksgiving holiday.","How we use non-English tape to take you to new places. Plus, our recommendations for your upcoming holiday weekend.",Podcasts,NA,Podcasts,"By Lauren Jackson, Mahima Chablani and Desiree Ibekwe",Transporting You Far Away,"Translating Tape, but Not All of It",the daily newsletter,News,https://www.nytimes.com/2020/11/20/podcasts/daily-newsletter-taliban-thanksgiving-cooking.html,,,
11/2/2020,"As the U.S. retreats and peace talks stall, the Taliban have increasingly taken over Afghanistan’s highways, raising millions in unofficial taxes and strengthening their negotiating position.","KABUL, Afghanistan — When the long-haul trucker drives past this hilltop police outpost in southern Afghanistan each week, he knows exactly what to do. The officers toss down a box tied to a length of rope and like all drivers, the trucker places 5,000 afghanis — about $65 — in the box, which the officers then reel back up to their outpost.","As the U.S. retreats and peace talks stall, the Taliban have increasingly taken over Afghanistan’s highways, raising millions in unofficial taxes and strengthening their negotiating position.",World,Asia Pacific,Foreign,By David Zucchino and Fahim Abed,"On Afghan Highways, Even the Police Fear the Taliban’s Toll Collectors",NA,NA,News,https://www.nytimes.com/2020/11/01/world/asia/afghanistan-taliban-bribery.html,,,
