doc.id,headline.main,date,section.name
154,Americans Held Overseas in Iran and Lebanon Are Freed,3/19/2020,U.S.
155,"Fresh From Iran’s Coronavirus Zone, Now Moving Across Afghanistan",3/26/2020,World
156,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission",3/22/2020,U.S.
157,Taliban Attack Afghanistan Amid Growing Coronavirus Threat,3/28/2020,World
158,Crisis in the Sahel Becoming France’s Forever War,3/29/2020,World
159,Crisis in the Sahel Becoming France’s Forever War,3/29/2020,World
160,‘I Didn’t Know Whether to Mourn or to Celebrate’: An Afghan Reporter’s Girlhood Education,3/30/2020,Reader Center
161,"Waiving Rent and Making Masks, Afghans Meet Coronavirus With Kindness",3/31/2020,World
162,"Ex-F.B.I. Agent Who Vanished on C.I.A. Mission to Iran Is Most Likely Dead, U.S. Concludes",3/25/2020,U.S.
163,Trump’s ‘Disaster Diplomacy’ Has So Far Had Few Results,3/26/2020,U.S.
164,Pakistani Court Overturns Conviction in 2002 Killing of Daniel Pearl,4/2/2020,World
165,2 Killed in Knife Attack in French Town Under Lockdown,4/4/2020,World
166,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks,4/7/2020,World
167,"In Kabul’s Heart, Soviet Towers Harbor Decades of Tales",4/9/2020,World
168,Coronavirus Finds Fuel in a World of Migrants,4/10/2020,World
169,The Taliban Terrorist,2/26/2020,Opinion
170,The Russian Bounties in Afghanistan: What Did Trump Know?,6/29/2020,Opinion
171,Trump and Evidence of Russian Bounties to the Taliban,7/1/2020,Opinion
172,Stigma Hampers Iraqi Efforts to Fight the Coronavirus,4/14/2020,World
173,"To Save Afghan Peace Deal, U.S. May Scale Back C.I.A. Presence",4/17/2020,World
174,U.S. Military Cutting Medevac Flights for Troops in West Africa,4/18/2020,World
175,Dozens Test Positive for Coronavirus at Afghan President’s Palace,4/19/2020,World
176,What Will Our New Normal Feel Like? Hints Are Beginning to Emerge,4/21/2020,World
177,Afghanistan’s Next War,4/22/2020,Magazine
178,Trump’s Inspector General Has Expressed Dim Views of Congressional Oversight,4/7/2020,U.S.
179,Taliban Ramp Up Attacks Even as Coronavirus Spreads in Afghanistan,4/24/2020,World
180,Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party,4/28/2020,World
181,Executive Order Halting New Green Cards Includes Exceptions,4/23/2020,U.S.
182,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",5/1/2020,World
183,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,5/2/2020,World
184,"Votes, Deployment and Now Parenthood in the Middle of a Pandemic",5/2/2020,U.S.
185,In Harm’s Way: Fighting the Summer Surge,5/5/2020,World
186,"Trump, the Master of Distraction",7/7/2020,Opinion
187,"U.S. Military Killed 132 Civilians in Wars Last Year, Pentagon Says",5/7/2020,World
188,"An Incursion Into Venezuela, Straight Out of Hollywood",5/7/2020,World
189,This Afghan General Fought the Taliban for Years. Now He Has Joined Them.,5/11/2020,World
190,"From Maternity Ward to Cemetery, a Morning of Murder in Afghanistan",5/12/2020,World
191,"Trump’s Reported Remarks About Soldiers, and John Kelly’s Silence",9/8/2020,Opinion
192,"Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate",5/13/2020,World
193,"In Italy, Some Fear the Virus Is a Get-Out-of-Jail Card for Mafiosi",5/13/2020,World
194,"Refugees’ Trauma, and Saving Migrant Children",11/3/2020,Opinion
195,U.S. Urges Afghanistan to Stay the Course With Peace Deal as Violence Resurges,5/15/2020,World
196,Afghan Power-Sharing Deal Would Promote General Accused of Rape,5/16/2020,World
197,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides,5/17/2020,World
198,Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz,5/19/2020,World
199,The Long Road Out of Afghanistan,12/4/2020,Opinion
200,Trump’s Dilemma: Reject DeVos Debt Forgiveness Rollback or Anger Veterans,5/20/2020,U.S.
201,Raids Reveal Massive Fentanyl Production in Myanmar,5/19/2020,World
202,"As Saudi Official Hid Abroad, His Family Became a Target at Home",5/21/2020,World
203,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr,5/24/2020,World
204,"African-Americans Are Highly Visible in the Military, but Almost Invisible at the Top",5/25/2020,U.S.
205,Americans Ponder Losses Past and Present on a Subdued Memorial Day,5/25/2020,U.S.
206,"By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South.",5/25/2020,World
207,Longtime Pentagon Watchdog Stepping Down From Post,5/26/2020,U.S.
208,Trump Wants Troops in Afghanistan Home by Election Day. The Pentagon Is Drawing Up Plans.,5/26/2020,World
209,How the Taliban Outlasted a Superpower: Tenacity and Carnage,5/26/2020,World
210,Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush,5/29/2020,U.S.
211,"As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power",6/1/2020,U.S.
212,Biden and the Afghan War,2/23/2021,Opinion
213,Former Commanders Fault Trump’s Use of Troops Against Protesters,6/2/2020,U.S.
214,"Milley, America’s Top General, Walks Into a Political Battle",6/5/2020,U.S.
215,Pentagon Ordered National Guard Helicopters’ Aggressive Response in D.C.,6/6/2020,U.S.
216,A Prisoner Release Stuns 2 American War Widows,6/4/2020,World
217,"U.S. Military Power, and the Lessons of History",3/7/2021,Opinion
218,"Aggressive Tactics by National Guard, Ordered to Appease Trump, Wounded the Military, Too",6/10/2020,U.S.
219,U.S. to Penalize War Crimes Investigators Looking Into American Troops,6/11/2020,U.S.
220,Has ‘America First’ Become ‘Trump First’? Germans Wonder,6/6/2020,World
221,French Military Says It Killed Top Qaeda Leader in Africa,6/6/2020,World
222,Trump Rejects Renaming Military Bases Named After Confederate Generals,6/11/2020,U.S.
223,"For Decades, This Radio Station Named the Dead. Few Still Listen.",6/8/2020,World
224,Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech,6/12/2020,U.S.
225,Robert Gates Calls to Replace Base Names From ‘Dark Side of Our History’,6/14/2020,U.S.
226,Trump Administration Sues to Try to Delay Publication of Bolton’s Book,6/16/2020,U.S.
227,Leaving Afghanistan Now Would Be a Mistake,3/10/2021,Opinion
228,Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes,6/17/2020,U.S.
229,Defense Secretary Will Assess How to Promote More Minorities in Military,6/18/2020,U.S.
230,The Lapses That Let a Saudi Extremist Shoot Up a U.S. Navy Base,6/21/2020,U.S.
231,"After 13 Years on the Run, a Sudanese Militia Leader Appears in Court",6/15/2020,World
232,"Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count",6/23/2020,U.S.
233,"Russia Secretly Offered Afghan Militants Bounties to Kill U.S. Troops, Intelligence Says",6/26/2020,U.S.
234,Biden Still Wants to Close Guantánamo Prison,6/27/2020,U.S.
235,Spies and Commandos Warned Months Ago of Russian Bounties on U.S. Troops,6/28/2020,U.S.
236,Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops,6/28/2020,U.S.
237,"Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks",6/22/2020,World
238,"The Hajj Pilgrimage Is Canceled, and Grief Rocks the Muslim World",6/23/2020,World
239,"Trump Got Written Briefing in February on Possible Russian Bounties, Officials Say",6/29/2020,U.S.
240,U.S. Used Missile With Long Blades to Kill Qaeda Leader in Syria,6/24/2020,World
241,Suspicions of Russian Bounties Were Bolstered by Data on Financial Transfers,6/30/2020,U.S.
242,Afghan Deaths Pile Up in Uncertainty Over U.S. Deal With Taliban,6/27/2020,World
243,Father of Slain Marine Finds Heartbreak Anew in Possible Russian Bounty,6/30/2020,U.S.
244,Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech,6/30/2020,U.S.
245,A New Superpower Competition Between Beijing and Washington: China’s Nuclear Buildup,6/30/2020,U.S.
246,Another Young Leader Taken. Afghans Ask: How Many More?,6/29/2020,World
247,"White House Dismisses Reports of Bounties, but Is Silent on Russia",7/1/2020,U.S.
248,"Slotkin, Former Intelligence Briefer, Presses White House on Russia Reports",7/1/2020,U.S.
249,New Administration Memo Seeks to Foster Doubts About Suspected Russian Bounties,7/3/2020,U.S.
250,"U.S. Calls for Indefinite Arms Embargo of Iran, but Finds No Takers",6/30/2020,World
251,Congress Presses Military Leaders on Suspected Russian Bounties,7/9/2020,U.S.
252,First Woman Joins Green Berets After Graduating From Special Forces Training,7/9/2020,U.S.
253,"Afghan Contractor Handed Out Russian Cash to Kill Americans, Officials Say",7/1/2020,World
254,"Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons",7/13/2020,U.S.
255,"Three Marines, Now Focus of Russian Bounties Investigation, Show the Costs of an Endless War",7/14/2020,U.S.
256,The 20-Year War: The U.S. Is Leaving Afghanistan,4/14/2021,Opinion
257,Is Leaving Afghanistan the Right Move?,4/24/2021,Opinion
258,Rise in Virus Cases Near Bases in U.S. and Abroad Poses Test for Military,7/21/2020,U.S.
259,"Republicans Heap Criticism on Liz Cheney, Calling Her Disloyal to Trump",7/21/2020,U.S.
260,"Russia Denies Paying Bounties, but Some Say the U.S. Had It Coming",7/3/2020,World
261,"Senate Kills Broad Curbs on Military Gear for Police, Thwarting Push to Demilitarize",7/21/2020,U.S.
262,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’",7/3/2020,World
263,"The Virus Found a Crowded Houston Neighborhood, Sparing One Nearby",7/21/2020,U.S.
264,Biden’s Ambitious Agenda for America,4/29/2021,Opinion
265,Democrats Investigating Why White House Ended Ban on Some Gun Silencer Sales,7/28/2020,U.S.
266,Trump Says He Did Not Ask Putin About Suspected Bounties to Kill U.S. Troops,7/29/2020,U.S.
267,"In a Death, Details of More Russian Murder-for-Hire Plots",7/9/2020,World
268,A Sudden Downfall in Afghanistan,8/15/2021,Opinion
269,The U.S. in Afghanistan: A Mess With ‘No Good Outcomes’,8/16/2021,Opinion
270,"Taliban Stage a Major Attack, as Violence Intensifies in Northern Afghanistan",7/13/2020,World
271,"How Russia Built a Channel to the Taliban, Once an Enemy",7/13/2020,World
272,Motorist Who Shot a Protester in Austin Claims Self-Defense,7/31/2020,U.S.
273,U.S. Says Most of China’s Claims in South China Sea Are Illegal,7/13/2020,World
274,Pompeo Says He and Military Warned Russia on Bounties for Killing U.S. Troops,8/13/2020,U.S.
275,Exit From Afghanistan: The Fallout,8/17/2021,Opinion
276,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says",7/17/2020,World
277,Top Republican National Security Officials Say They Will Vote for Biden,8/20/2020,U.S.
278,India Offers Escape to Afghan Hindus and Sikhs Facing Attacks,7/19/2020,World
279,"For Women in Afghan Security Forces, a Daily Battle",7/20/2020,World
280,At Least 60 Migrants Killed in Turkish Boat Disaster,7/20/2020,World
281,G.O.P. Convention Skims Over Trump’s ‘Unfinished Business’ in Foreign Policy,8/27/2020,U.S.
282,C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists,8/29/2020,U.S.
283,"Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime",8/29/2020,U.S.
284,"The Few, the Proud, the White: The Marine Corps Balks at Promoting Generals of Color",8/31/2020,U.S.
285,A Girl’s Heroic Battle Against the Taliban Was Also a Family Feud,7/22/2020,World
286,"In Afghan Attacks, Facts Are Murky. But It’s Clear Deaths Are Piling Up.",7/23/2020,World
287,Officials Push U.S.-China Relations Toward Point of No Return,7/25/2020,World
288,"Taliban Executes Female Prison Guard, and U.N. Raises Concern Over Afghan Violence",7/27/2020,World
289,"Taliban Announce Brief Cease-Fire, as Afghan Peace Talks Look Imminent",7/28/2020,World
290,U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide,9/1/2020,U.S.
291,"U.S. Will Cut 12,000 Forces in Germany",7/29/2020,World
292,A Rarely Seen Weapon Destroys a Helicopter in Afghanistan,7/30/2020,World
293,"Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say",7/31/2020,World
294,Trump Faces Uproar Over Reported Remarks Disparaging Fallen Soldiers,9/4/2020,U.S.
295,"As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’",9/4/2020,U.S.
296,Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’,8/1/2020,World
297,Militants Attack Afghan Prison as Brief Cease-Fire Expires,8/2/2020,World
298,29 Dead After ISIS Attack on Afghan Prison,8/3/2020,World
299,"More U.S. Troops Will Leave Afghanistan Before the Election, Trump Says",8/4/2020,World
300,Fearful About Afghanistan’s Future,8/23/2021,Opinion
301,Pompeo Warned Russia Against Bounties on U.S. Troops in Afghanistan,8/7/2020,World
302,"Afghanistan to Release Last Taliban Prisoners, Removing Final Hurdle to Talks",8/9/2020,World
303,Trump Says He Will Reverse Pentagon Plan to Close Newspaper That Informs and Speaks for Troops,9/4/2020,U.S.
304,U.S. Contractor Knew of Explosive Material in Beirut Since at Least 2016,8/11/2020,World
305,Afghanistan to Investigate Video Showing Forces Mutilating Taliban Corpses,8/13/2020,World
306,Rebel Poet’s Death Leaves 40 Years of Epic Afghan Work Unfinished,8/13/2020,World
307,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",9/4/2020,U.S.
308,"After Report That Trump Disparaged War Dead, Democrats See Chance to Win Over Military Voters",9/4/2020,U.S.
309,"John Kelly, at Center of Report on Trump Disparaging U.S. Soldiers, Keeps Silent",9/5/2020,U.S.
310,"With Delay in Afghan Peace Talks, a Creeping Sense of ‘Siege’ Around Kabul",8/23/2020,World
311,"Afghan Soccer Official, Charged With Sexual Abuse, Evades Arrest",8/24/2020,World
312,Africa Celebrates the End of the Wild Poliovirus (but Not the End of All Polio),8/24/2020,World
313,As the Afghanistan Deadline Arrives,8/30/2021,Opinion
314,Nearly 80 Killed as Flash Floods Ravage City in Afghanistan,8/26/2020,World
315,‘I Lost Everyone’: Floods Bruise a War-Weary Afghanistan,8/27/2020,World
316,New Zealand Gives Christchurch Killer a Record Sentence,8/27/2020,World
317,"U.S. to Reduce Troop Levels in Iraq to 3,000",9/9/2020,U.S.
318,Veterans Fortify the Ranks of Militias Aligned With Trump’s Views,9/11/2020,U.S.
319,"Taliban Violated Afghan Deal With Shelling of American Bases, U.S. Officials Say",8/30/2020,World
320,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats,8/30/2020,World
321,War Crime Risk Grows for U.S. Over Saudi Strikes in Yemen,9/14/2020,U.S.
322,U.S. Sending More Troops to Syria to Counter the Russians,9/18/2020,U.S.
323,U.S. Reimposes U.N. Sanctions on Iran Over Objections of World Powers,9/19/2020,U.S.
324,"After Afghan Women Asked #WhereIsMyName, a Small Victory",9/2/2020,World
325,Afghan Peace Talks Set to Begin as Prisoner Swap Is Nearly Done,9/3/2020,World
