doc.id,text,date,section.name,news.desk,byline,headline.main,headline.print,material,,,
14,"In a series of tweets on Friday defending President Trump’s decision to authorize the drone strike that killed Iran’s top intelligence commander, Maj. Gen. Qassim Suleimani, Vice President Mike Pence reeled off a list of some of General Suleimani’s most notorious attacks and machinations. Mr. Pence described “an evil man” who had threatened American national security interests for decades. ",1/4/2020,U.S.,Washington,By Zach Montague,Pence Links Suleimani to 9/11. The Public Record Doesn’t Back Him.,NA,News,,,
15,Thousands of antiwar protesters gathered in communities across the country on Saturday to condemn the American drone strike in Baghdad that killed Iran’s top security and intelligence commander.,1/4/2020,U.S.,Express,By Mariel Padilla,Antiwar Protesters Across U.S. Condemn Killing of Suleimani,NA,News,,,
16,"LEWISTON, Maine — Standing on the House floor minutes after voting to impeach President Trump, Representative Jared Golden replayed in his head the criticism streaming through his office phone lines and inbox. Then he did exactly what those voters had warned against: He broke with his own party and voted against a second article of impeachment.",1/4/2020,U.S.,Washington,By Catie Edmondson,"With Split Decision on Impeachment, Maine Democrat Risks a Dual Backlash","With Split Vote on Impeachment, Maine Democrat Risks Dual Backlash",News,,,
17,"WASHINGTON — The powers of an American president to wage war have grown stronger for nearly two decades, ever since the Sept. 11 attacks led the United States into an era of perpetual conflict.",1/4/2020,World,Washington,By Mark Mazzetti,"In Era of Perpetual Conflict, a Volatile President Grabs Expanded Powers to Make War","More Powers, Few Limits And a Volatile President",News Analysis,,,
18,"HYDERABAD, India — At least 100,000 people gathered Saturday in Hyderabad, India’s technology hub, to protest Prime Minister Narendra Modi and a new law they say will strip the country of its secular foundations, maintaining steady pressure on the government as demonstrations entered their fourth week. ",1/4/2020,World,Foreign,By Hari Kumar and Maria Abi-Habib,"Muslims Organize Huge Protests Across India, Challenging Modi",Huge Protests in India Keep Steadfast Pressure on Modi,News,,,
19,"For the militants of the Islamic State, the American drone strike that killed the Iranian commander Qassim Suleimani was a two-for-one victory.",1/4/2020,World,Foreign,By David D. Kirkpatrick,Conflict With Iran Threatens Fight Against ISIS,"As Tehran and Washington Stare Each Other Down, ISIS Stands to Gain",News,,,
20,"Was the killing of Maj. Gen. Qassim Suleimani, commander of Iran’s elite Quds Force, an act of war? If it was, it was a war in which the United States and Iran were already joined. ",1/5/2020,Opinion,OpEd,By Ryan C. Crocker,The Long Battle With Iran,NA,Op-Ed,,,
21,"NORTH CONWAY, N.H. — When Pete Buttigieg, the former mayor of South Bend, Ind., took the stage to deliver his first in-person reaction to the American killing of Maj. Gen. Qassim Suleimani of Iran, he began with a laundry list of unanswered questions about the airstrike.",1/5/2020,U.S.,Politics,By Reid J. Epstein,"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More","Buttigieg’s Bet: After Iran Strike, a Military Past Matters Even More",News,,,
22,Iran’s government said it was no longer abiding by a commitment it made under the 2015 nuclear deal and it would not limit its enrichment of uranium.,1/5/2020,World,Foreign,NA,Outrage in Iran After Killing of Suleimani: Here’s What You Need to Know,NA,News,,,
23,(Want to get this briefing by email? Here’s the sign-up.),1/6/2020,Briefing,NYTNow,By Melina Delkic,"Iran, Australia Fires, Taiwan election: Your Tuesday Briefing",NA,briefing,,,
24,(Want to get this briefing by email? Here’s the sign-up.),1/6/2020,Briefing,NYTNow,By Chris Stanford,"Iran, Golden Globes, Harvey Weinstein: Your Monday Briefing",NA,briefing,,,
25,“The Republican Party is not a monolithic entity.”,1/6/2020,Magazine,Magazine,By David Marchese,Will Hurd Wants to Improve the Republican Brand,Will Hurd Wants to Improve the Republican Brand,Interactive Feature,,,
26,"The last time I wrote seriously about a war with Iran was in 2012. It had been an especially fraught year, with Iran’s Revolutionary Guards running naval exercises in the Persian Gulf, Israel and the United States conducting joint drills, and the safety of oil shipping lanes looking entirely unassured. Oil prices rattled skittishly, everyone suddenly monitored ships, and headlines speculated that Israel might attack Iran’s nuclear sites.",1/6/2020,Opinion,OpEd,By Azadeh Moaveni,The Day After War Begins in Iran,NA,Op-Ed,,,
27,To the Editor:,1/6/2020,Opinion,Letters,NA,A Threat to Iran’s Rich Cultural Heritage,A Threat to Iran’s Rich Cultural Heritage,Letter,,,
28,"WASHINGTON — The American ambassador to Afghanistan is leaving his post after two years in Kabul, the State Department announced on Monday. ",1/6/2020,U.S.,Washington,By Lara Jakes,"John Bass, U.S. Envoy to Afghanistan, Steps Down on Cusp of New Peace Deal",U.S. Envoy to Afghanistan Is Stepping Down,News,,,
29,"WASHINGTON — Immediately after President Trump ordered the killing of Maj. Gen. Qassim Suleimani of Iran, some of the loudest applause was heard from Pete Hegseth, a Fox News host and a decorated veteran of the Iraq and Afghanistan wars.",1/6/2020,U.S.,Washington,By Jennifer Steinhauer,Fox Host’s ‘America First’ Shift Makes an Exception for Trump’s Iran Strike,"Fox Host Is ‘America First,’ but Makes Exception for Trump’s Iran Strike",News,,,
30,WASHINGTON — American military units stationed in Iraq and Syria are readying for attacks from either Iranian forces or their proxies after the drone strike that killed a senior Iranian general last week.,1/6/2020,World,Washington,By Thomas Gibbons-Neff,How U.S. Troops Are Preparing for the Worst in the Middle East,U.S. Troops Preparing for Worst in Mideast,News,,,
31,"WASHINGTON — More than 2,300 years ago, the Persian capital of Persepolis was burned by a foreign warrior in a fatal blow to the empire and its rich heritage. The ruins of the ancient city, in modern-day southwest Iran, could now be on President Trump’s target list of 52 sites he has threatened to attack as tensions escalated between Washington and Tehran. ",1/6/2020,World,Washington,By Lara Jakes,Defenders of History Take Aim at Trump’s Threat to Strike Iran’s Cultural Sites,‘You Can’t Just Start Shooting Anything You Want’,News,,,
32,"The wars and insurgencies that battered the Middle East over the last decade delivered not only a horrible toll of death and displacement, but also a wasteland of cultural destruction, reducing to rubble the Assyrian gates of Nineveh, the Great Mosque of Aleppo and countless other treasures, ancient and modern.",1/7/2020,Arts,Culture,By Jason Farago,Targeting Cultural Sites in War Is Illegal. It’s Also Barbaric.,"In Targeting Cultural Sites, a Threat to Global Values",News,,,
33,"It was the kind of full-throated critique of President Trump familiar to MSNBC viewers, yet transplanted to the heart of Fox News: Tucker Carlson, the network’s conservative 8 p.m. host, upbraiding the White House for its attempts to justify the killing of a top military commander in Iran.",1/7/2020,Business Day,Business,By Michael M. Grynbaum,Tucker Carlson Dissents as Right-Wing Media Weighs Trump’s Iran Strike,The Prospect of a New Military Conflict Divides Right-Wing Pundits,News,,,
34,"The apartment building, in Brooklyn’s Flatbush neighborhood, is a hive of nationalities. A Pakistani woman entered the elevator on a recent afternoon with a big bag of groceries, flicking a dupatta over her shoulder as a Nepalese nurse and the janitor, a man from Jamaica there to mop up a spill, followed her in.",1/7/2020,New York,Metro,By Kimiko de Freytas-Tamura,Just 700 Speak This Language (50 in the Same Brooklyn Building),Carefully Nourishing a Dying Language,News,,,
35,"Among the many questions raised by the killing of Maj. Gen. Qassim Suleimani, perhaps the most pressing is, “Why?” Yes, General Suleimani was responsible for hundreds of American deaths, and he may have been planning another attack on United States forces. But the greater concern, raised by people from Tucker Carlson on the right to Elizabeth Warren on the left, is how this provocative act fits into America’s overall interests — in other words, our grand strategy.",1/7/2020,Opinion,OpEd,By Elizabeth Cobbs and Kimberly C. Field,Why Did the U.S. Kill Suleimani?,NA,Op-Ed,,,
36,"There’s a witticism that makes the rounds on Twitter whenever Donald Trump does something particularly plutocratic or corrupt, a variation on the following: Look, this is what all those folks in Midwestern diners voted for. The sarcastic point being either that Trump’s populism was a con with blue-collar voters as its mark, or else that Trump’s supporters professed to care about his populist promises only as a means to own the libs.",1/7/2020,Opinion,OpEd,By Ross Douthat,Andrew Jackson in the Persian Gulf,NA,Op-Ed,,,
37,"As a child, Kavon Hakimzadeh fled the Islamic Revolution in Iran with his family and found refuge in small-town Mississippi. Now, 40 years later, he is back in the Persian Gulf region, this time as the commander of the United States aircraft carrier Harry S. Truman, which with tensions rising over the killing of Maj. Gen. Qassim Suleimani could play a role in any confrontation with his former homeland.",1/7/2020,U.S.,National,By Dave Philipps,He Fled Iran as a Child. Now He’s Commanding a U.S. Aircraft Carrier.,He Once Fled Iran. Now He  Leads an American Crew.,News,,,
38,"WASHINGTON — Defense Secretary Mark T. Esper sought to douse an international outcry on Monday by ruling out military attacks on cultural sites in Iran if the conflict with Tehran escalates further, despite President Trump’s threat to destroy some of the country’s treasured icons.",1/7/2020,U.S.,Washington,By Peter Baker and Maggie Haberman,"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",Pentagon Rules Out Strikes on Antiquities,News,,,
39,"BAGHDAD — Iran attacked two bases in Iraq that house American troops with a barrage of missiles early Wednesday, Iranian official news media and United States officials said, fulfilling Tehran’s promise to retaliate for the killing of a top Iranian commander.",1/7/2020,World,Washington,"By Alissa J. Rubin, Farnaz Fassihi, Eric Schmitt and Vivian Yee","Iran Fires on U.S. Forces at 2 Bases in Iraq, Calling It ‘Fierce Revenge’",Iranians Attack U.S. Forces in Iraq in Act of Revenge,News,,,
40,For now we seem to have averted an all-out shooting war between the United States and Iran.,1/8/2020,Opinion,OpEd,By Nicholas Kristof,Trump Has a Bizarre Idea of Winning,Trump Has  A Bizarre Idea Of Winning,Op-Ed,,,
41,"President Trump’s assassination of Maj. Gen. Qassim Suleimani, the head of Iran’s intelligence and security services, has pushed foreign policy to center stage in the Democratic primary race for president.",1/8/2020,Opinion,Editorial,By The Editorial Board,Can Trump Make Foreign Policy a Democratic Campaign Issue?,Foreign Policy Should Matter to Voters,Editorial,,,
42,"When I step back and get some distance on this latest clash between President Trump and Iran’s supreme leader, Ayatollah Ali Khamenei, it becomes obvious to me that what we have here are two bald men fighting over a comb.",1/8/2020,Opinion,OpEd,By Thomas L. Friedman,"Did Trump and Iran Just Bury the Hatchet, or the Future?",NA,Op-Ed,,,
43,"WASHINGTON — Under increasing pressure to defend the killing of a top Iranian general in Iraq, senior Trump administration officials offered new justifications but little detail on Tuesday, citing threats to the American Embassy in Baghdad and intelligence suggesting other imminent attacks that helped prompt the strike.",1/8/2020,U.S.,Washington,"By Julian E. Barnes, Catie Edmondson, Thomas Gibbons-Neff and Rukmini Callimachi","Pressed for Details on Suleimani Strike, Trump Administration Gives Few",Democrats Press for Details on Threats Cited by Trump,News,,,
44,President Trump addressed the nation from the White House on Wednesday about the conflict with Iran. ,1/8/2020,U.S.,Washington,By The New York Times,Full Transcript: President Trump’s Address on Iran,U.S. ‘Is Ready to Embrace  Peace With All Who Seek It’,News,,,
45,"WASHINGTON — Things were on a clear course as far as President Trump’s re-election campaign was concerned. The impeachment proceedings unfolding on Capitol Hill had proved to be a boost for volunteer recruitment and small-dollar donations. The year ended with a blockbuster jobs report and the unemployment rate falling to 3.5 percent, its lowest level since 1969.",1/8/2020,U.S.,Washington,By Annie Karni and Maggie Haberman,Suleimani’s Killing Creates New Uncertainty for Trump Campaign,Iranian’s Killing Delivers Jolt of Uncertainty to Trump Campaign Strategy,News,,,
46,"President Trump, responding during a White House address on Wednesday to the missile strikes by Iran, assailed the nuclear agreement reached by his predecessor and praised American military might. The 10-minute address contained numerous inaccuracies and claims that lacked evidence. Here’s a fact check. ",1/8/2020,U.S.,Washington,By Linda Qiu,Trump’s Inaccurate Statements About the Conflict With Iran,References In Address To 2013 Deal Had Holes,News,,,
47,"In the days after a United States drone strike killed Iran’s top intelligence and military operative, President Ashraf Ghani of Afghanistan scrambled to keep his country out of a cycle of escalation between the two powers. ",1/8/2020,World,Foreign,By Mujib Mashal,"As Iran and U.S. Trade Blows, Afghanistan Sweats Between the 2 Powers",Washington-Tehran Friction Casts Spotlight on Afghanistan’s Vulnerabilities,News,,,
48,"WASHINGTON — After the United States and Iran stormed to the edge of a cliff this week, early indications suggest that the two countries apparently have decided they do not want to jump, at least not yet.",1/8/2020,World,Washington,By Helene Cooper and Eric Schmitt,"At the Edge of a War, the U.S. and Iran Appear to Step Back","While Threat of War  May Have Receded, It Hasn’t Disappeared",News Analysis,,,
49,"BAGHDAD — Over an intense half-hour before dawn on Wednesday, Iran bombed targets in Iraq, striking in and around two large military bases that house thousands of Iraqi and American servicemen and women. ",1/8/2020,World,Foreign,By Alissa J. Rubin,"Missile Strike Damage Appears Limited, but Iran May Not Be Done",NA,News,,,
50,"On Wednesday morning, a passenger plane bound for Ukraine exploded as it slammed into a field in Iran, just minutes after takeoff. The Boeing jet was operated by a Ukrainian carrier, and at least 176 people were on board. None survived.",1/8/2020,World,Express,By Jacey Fortin,The Ukraine Plane Crash in Iran: Black Boxes and Other Questions,NA,News,,,
51,MONTREAL — There was the family of a prominent Iranian writer who had emigrated to Canada a few years ago. There was a newlywed couple. And there were international students and children. ,1/8/2020,World,Foreign,By Dan Bilefsky and Ian Austen,Iran Plane Crash Victims Came From at Least Seven Countries,Victims Included Citizens From at Least 7 Countries,News,,,
52,[Follow our live coverage of Oprah’s Interview with Meghan and Harry],1/8/2020,World,Foreign,By Mark Landler,Prince Harry and Meghan to ‘Step Back’ From Royal Duties in Extraordinary Retreat,"In Stunning Step, Duke and Duchess Seek New Title: Part-Timers",News,,,
53,"A classified briefing on the Iran crisis from Trump administration officials on Wednesday did little to convince Democrats that the killing of Maj. Gen. Qassim Suleimani was justified, and some Republicans were unhappy about the White House’s failure to include lawmakers in the decision-making process.",1/8/2020,World,Foreign,By The New York Times,Confrontation in Congress Looms Over Iran Conflict,NA,News,,,
54,"Richard Clarke was in Abu Dhabi one morning in 2013 when his phone lit up. “You busy?” a familiar voice said. It was a rhetorical question. The caller was Mohammed bin Zayed al-Nahyan, the ruler of the United Arab Emirates and one of the most powerful men on Earth. “I’ll send a car,” he said, and hung up. Clarke, the former White House counterterrorism czar, was working as a consultant for M.B.Z. (as he’s mostly known outside his country) and had gotten used to impromptu calls like this. M.B.Z. rarely explained what he had in mind. Once, he took Clarke for an unexpected helicopter flight deep into the desert of the Empty Quarter and then landed by an artificial pond, scattering a herd of wild gazelles. Not far away, a group of German engineers was standing around, working on an experimental solar-powered water-desalination plant.",1/9/2020,Magazine,Magazine,By Robert F. Worth,Mohammed bin Zayed’s Dark Vision of the Middle East’s Future,The M.B.Z. Moment,News,,,
55,"Let us not go again to war. Let us not go to war because we cannot afford to “win” another war. There would be no winning this war. There is only losing, at a cost that staggers every dimension on all sides — in lives, in money, and in the squandered opportunity to do anything better with our collective time and resources on this already beset planet.",1/9/2020,Opinion,OpEd,By Farhad Manjoo,We Really Must Stop Starting Wars,NA,Op-Ed,,,
56,To the Editor:,1/9/2020,Opinion,Letters,NA,"In the Mideast, U.S. Foreign Policy Gone Awry","In the Mideast, U.S. Foreign Policy Gone Awry",Letter,,,
57,The Duke and Duchess of Sussex made a big and hasty announcement this week that caught the world by surprise — even as it was months in the making. Here’s what we know so far. ,1/9/2020,Style,Styles,By Caity Weaver and Elizabeth Paton,"Prince Harry and Meghan Stepping Back, Explained",A Guide To Grasping A ‘Step Back’,News,,,
58,"WASHINGTON — In 2002, as the George W. Bush administration marched toward its invasion of Iraq, Vice President Dick Cheney chose the national convention of the Veterans of Foreign Wars to make his case for invasion and was greeted with thunderous applause. ",1/9/2020,U.S.,Washington,By Jennifer Steinhauer,Weary Veterans Exemplify a Nation Reluctant for War With Iran,"Weary of War, and Wary of Embarking on Another in the Middle East",News,,,
59,"She was too bold, too outspoken, too difficult, too American, too multicultural, the critics said. She should not have alienated the news media by refusing to join in their celebrity games. She should not have spent so much money renovating the house the royal family was kind enough to bestow upon her and her husband.",1/9/2020,World,Foreign,By Sarah Lyall,"For Prince Harry and His Wife, Meghan, a Tricky Balancing Act",NA,News,,,
60,"President Trump opened a small window for diplomacy with Iran on Wednesday, but combined his words with bald threats that made it hard to see how the two countries could break out of their cycle of confrontation and revenge.",1/9/2020,World,Washington,By David E. Sanger,Trump’s Iran Strategy: A Cease-Fire Wrapped in a Strategic Muddle,A President’s Mixed Messages Unsettle More Than Reassure,News Analysis,,,
61,"Last week, our military and intelligence services brought justice to Qassim Suleimani, Iran’s terror mastermind. President Trump ordered General Suleimani’s killing after months of attacks on Americans by Iran’s proxy forces in Iraq. These attacks culminated in a rocket strike that killed an American and wounded others, then the attempted storming of our embassy in Baghdad. The first attack crossed the red line drawn by the president last summer — that if Iran harmed an American, it would face severe consequences. The president meant what he said, as Mr. Suleimani learned the hard way.",1/10/2020,Opinion,OpEd,By Tom Cotton,The Case for Killing Qassim Suleimani,NA,Op-Ed,,,
62,"An Army major charged with murder but pardoned in November by President Trump learned on Thursday that the Army has rejected his request to be restored to membership in the elite Green Berets, setting up a potential clash between senior Army leaders and the commander in chief.",1/10/2020,U.S.,National,By Dave Philipps,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",Pardoned Soldier Is Denied Bid to Rejoin Green Berets,News,,,
63,"Welcome to Poll Watch, our weekly look at polling data and survey research on the candidates, voters and issues that will shape the 2020 election.",1/10/2020,U.S.,Politics,By Giovanni Russonello,How the Public Feels About Trump’s Iran Strategy,NA,News,,,
64,"COLORADO SPRINGS — The sergeant in charge of one of the busiest Army recruiting centers in Colorado, Sgt. First Class Dustin Comes, joined the Army, in part, because his father served. Now two of his four children say they want to serve, too. And he will not be surprised if the other two make the same decision once they are a little older.",1/10/2020,U.S.,National,By Dave Philipps and Tim Arango,Who Signs Up to Fight? Makeup of U.S. Recruits Shows Glaring Disparity,The Call to Serve Is Being Unevenly Embraced,News,,,
65,"DES MOINES — It was a Sunday, and Pete Buttigieg’s standard riff on the role of faith in politics went on a little longer than usual.",1/10/2020,U.S.,Politics,By Jeremy W. Peters,Why Pete Buttigieg Has Made Religion Central to His Campaign,Why Buttigieg Places Religion In the Spotlight,News,,,
66,"LAHORE, Pakistan — A bomb blast inside a mosque in southwestern Pakistan, believed to be frequented by senior Taliban figures, killed at least 15 people on Friday and wounded at least 18 more, according to police officials. ",1/10/2020,World,Foreign,By Salman Masood and Zia ur-Rehman,Bomb Blast Claimed by ISIS Kills at Least 15 in Pakistan Mosque Used by Taliban,NA,News,,,
67,"Ukraine’s main intelligence agency, the S.B.U., or Security Service of Ukraine, said on Friday that it had narrowed down the possible causes of the airplane crash in Iran to either a missile strike or a terrorist act. ",1/10/2020,World,Foreign,NA,"In Plane Crash, a Day of Blame: Ukraine Weighs In and Iran Mulls Announcement",NA,News,,,
68,"KABUL, Afghanistan — Two American service members were killed and two others were wounded in a roadside bomb explosion in southern Afghanistan on Saturday, the United States military command in Afghanistan said in a statement. They were the first American military fatalities in Afghanistan this year.",1/11/2020,World,Foreign,By Fahim Abed,Two U.S. Service Members Killed in Afghanistan,2 U.S. Service Members Killed in Afghan Bomb Blast,News,,,
69,The timing of the jet crash near Tehran on Wednesday — coming just hours after Iran fired missiles at Iraqi military bases housing American troops — immediately led to suspicion that the plane had been downed by a missile.,1/11/2020,World,Express,By Karen Zraick,Jet Crash in Iran Has Eerie Historical Parallel,NA,News,,,
70,"BAGRAM, Afghanistan — Nine years ago, Faiqullah Tajik helped sort laundry at Bagram Air Base, the largest American military outpost in Afghanistan. Mr. Tajik made $600 a month. He liked his job.",1/12/2020,World,Foreign,By Thomas Gibbons-Neff and Fahim Abed,A Growing U.S. Base Made This Afghan Town. Now It’s Dying.,"As U.S. Reduces Its Afghan Presence, a Once-Vital Town Is Left With Scraps",News,,,
71,"DAKAR, Senegal — France has called five African presidents to a meeting on Monday to disavow rising anti-French hostility in their countries, work out how to stop the rapid advance of armed Islamist extremists in their region and determine whether France will remain deeply engaged in that fight.",1/12/2020,World,Foreign,By Ruth Maclean,"France Summons African Leaders, Threatening Troop Pullout","Citing Hostility to France in Africa, Macron Threatens a Pullout",News,,,
72,"Dee Knapp was asleep when her husband, Gary, stumbled drunkenly into their white frame house after a night out drinking. Bracing for trouble, Dee jumped up and ran to the kitchen.",1/13/2020,Books,BookReview,NA,"‘Tightrope: Americans Reaching for Hope,’ by Nicholas D. Kristof and Sheryl WuDunn: An Excerpt",NA,Review,,,
73,(Want to get this briefing by email? Here’s the sign-up.),1/13/2020,Briefing,NYTNow,By Victoria Shannon and Hiroko Masuike,"Oscars, Iran, College Football: Your Monday Evening Briefing",NA,briefing,,,
74,(Want to get this briefing by email? Here’s the sign-up.),1/13/2020,Briefing,NYTNow,By Melina Delkic,"Iran Protests, Harry and Meghan, Australia Fires: Your Tuesday Briefing",NA,briefing,,,
75,Mr. Steyer interviews for The New York Times’s endorsement.,1/13/2020,Opinion,OpEd,By The Editorial Board,Tom Steyer’s Top Priority Isn’t Climate Change,NA,Interactive Feature,,,
76,Mr. Sanders interviews for The New York Times’s endorsement.,1/13/2020,Opinion,OpEd,By The Editorial Board,Bernie Sanders Wants to Change Your Mind,NA,Interactive Feature,,,
77,"DUBUQUE, Iowa — Almost exactly four years ago, Donald J. Trump touched down at an airport hangar here, delivered a donation to a group that provides service dogs to veterans and, before inviting a few kids to run around on his Boeing 757, criticized the wars in the Middle East that many local families had sent their sons and daughters to fight in. ",1/13/2020,U.S.,Politics,By Jeremy W. Peters,Trump’s Iran Strategy May Cost Him in 2020 Election,Trump 2020? Moves on Iran Raise Doubts,News,,,
78,"Widespread anger at the Iranian government for shooting down a passenger plane and then misleading the public about it simmered for a third day on Monday, with the police and protesters facing off in at least two cities and increasing demands from lawmakers for accountability.",1/13/2020,World,Foreign,By Farnaz Fassihi and Ben Hubbard,"Iran Protests Rage Over Downed Jet, as Lawmakers Demand Accountability","In Iran, Growing Indignation and a Push for Accountability",News,,,
79,Senator Booker interviews for The New York Times’s endorsement.,1/14/2020,Opinion,Editorial,By The Editorial Board,Cory Booker Has More to Say,NA,Interactive Feature,,,
80,To the Editor:,1/14/2020,Opinion,Letters,NA,An Aide’s View: Jimmy Carter as ‘the Anti-Trump’,An Aide’s View: Jimmy Carter as the ‘Anti-Trump’,Letter,,,
81,"DES MOINES — In the final debate before the Iowa caucuses, six Democratic candidates were more restrained than roaring, as they sought to make their best positive political cases to the state’s party faithful before the Feb. 3 voting. Here are six takeaways from the debate:",1/14/2020,U.S.,Politics,By Reid J. Epstein and Katie Glueck,6 Takeaways From the January 2020 Democratic Debate,NA,News,,,
82,"DES MOINES — In the final debate before the Iowa caucuses, six Democratic candidates were more restrained than roaring, as they sought to make their best positive political cases to the state’s party faithful before the Feb. 3 voting. Here are six takeaways from the debate:",1/14/2020,U.S.,Politics,By Reid J. Epstein and Katie Glueck,6 Takeaways From the January 2020 Democratic Debate,NA,News,,,
83,"BRUSSELS — A Pentagon proposal to greatly reduce American forces in West Africa faced criticism from allies on Tuesday, with French officials arguing that removing United States intelligence assets in the region could stymie the fight against extremist groups.",1/14/2020,World,Foreign,By Helene Cooper,Plan to Cut U.S. Troops in West Africa Draws Criticism From Europe,Plan to Cut U.S. Troops In West Africa Is Criticized,News,,,
84,"On the afternoon of Feb. 26, 2015, the artist Kubra Khademi strapped a suit of metal armor over her clothes and headed outside. The armor, which she had cobbled together in the workshop of a local blacksmith, had bulbous breasts and an ample bottom. It was the centerpiece of a carefully planned street performance.",1/15/2020,Arts,Culture,By Farah Nayeri,"In Afghanistan, Being an Artist Is a Dangerous Job",Afghan Artists Risk Everything to Reject Silence,News,,,
