danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,track_number,track_id,album_name,album_id,time_signature,duration_ms,key_name,mode_name,key_mode
0.634,0.281,7,-18.02,1,0.0457,0.814,0.0353,0.111,0.407,119.345,"Loser - Live at the Fox Theatre, St. Louis, MO 12/10/71",4,2sMlm5CTXbSitM813uRN9n,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,441653,G,major,G major
0.531,0.528,0,-15.335,1,0.0578,0.744,0.243,0.0844,0.806,171.514,"Beat It On Down The Line - Live at the Fox Theatre, St. Louis, MO 12/10/71",5,2MJVXjkvOBfl5H0QKDVVBQ,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,229082,C,major,C major
0.471,0.287,4,-18.052,1,0.0408,0.733,0.00898,0.128,0.545,83.587,"Sugaree - Live at the Fox Theatre, St. Louis, MO 12/10/71",6,0BonuoM0q1NvKm6tY9S8uo,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,529248,E,major,E major
0.479,0.427,9,-18.357,1,0.0486,0.62,0.0367,0.212,0.492,138.304,"Jack Straw - Live at the Fox Theatre, St. Louis, MO 12/10/71",7,5kMNcupimhMdWBVEQUTMtX,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,329989,A,major,A major
0.62,0.402,2,-18.13,1,0.0364,0.721,0.0942,0.141,0.882,125.268,"Next Time You See Me - Live at the Fox Theatre, St. Louis, MO 12/10/71",8,11TDfYhHz5CxXN6ZrLXJUg,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,277146,D,major,D major
0.658,0.376,5,-17.299,1,0.0523,0.283,0.00139,0.0881,0.602,133.865,"Tennessee Jed - Live at the Fox Theatre, St. Louis, MO 12/10/71",9,74zprAL76J4WJWhxzBbIPw,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,463346,F,major,F major
0.383,0.428,2,-19.027,1,0.036,0.638,0.0949,0.119,0.716,80.944,"El Paso - Live at the Fox Theatre, St. Louis, MO 12/10/71",10,5Q3tDNl17wQAWtsoqfqKFU,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,295598,D,major,D major
0.489,0.545,2,-17.122,1,0.0444,0.579,0.284,0.738,0.737,168.045,"Big Railroad Blues - Live at the Fox Theatre, St. Louis, MO 12/10/71",11,09dHEm6EpwL6PA0Wgx7y47,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,251938,D,major,D major
0.564,0.435,0,-17.375,1,0.0325,0.588,0.0132,0.912,0.754,95.513,"Casey Jones - Live at the Fox Theatre, St. Louis, MO 12/10/71",12,1qXEmtmzySb7nLahZjkn92,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,342101,C,major,C major
0.544,0.409,7,-19.226,0,0.0602,0.753,0.077,0.132,0.555,98.828,"Good Lovin' - Live at the Fox Theatre, St. Louis, MO 12/10/71",1,4CO8PAcDNy3so6VvIqaXNI,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,1331964,G,minor,G minor
0.505,0.16,5,-22.256,1,0.038,0.894,0.163,0.121,0.345,104.348,"Brokedown Palace - Live at the Fox Theatre, St. Louis, MO 12/10/71",2,4THuWTrBq2NTZfWEiZLMJ2,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,366027,F,major,F major
0.642,0.332,2,-18.885,1,0.0325,0.673,0.139,0.193,0.707,119.668,"Playing in the Band - Live at the Fox Theatre, St. Louis, MO 12/10/71",3,2lTJR422YJ3Sz7iYGUivtg,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,3,416778,D,major,D major
0.511,0.674,7,-16.275,1,0.0878,0.776,0.601,0.205,0.732,174.619,"Run Rudolph Run - Live at the Fox Theatre, St. Louis, MO 12/10/71",4,2dAIPTyMzZHAyrErJlsgvJ,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,218781,G,major,G major
0.735,0.363,2,-18.437,1,0.0429,0.768,0.0547,0.104,0.787,118.835,"Deal - Live at the Fox Theatre, St. Louis, MO 12/10/71",5,2kupqPG2egNlffNg8PDWln,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,349933,D,major,D major
0.521,0.564,4,-16.356,1,0.0355,0.609,0.129,0.106,0.844,156.494,"Sugar Magnolia - Live at the Fox Theatre, St. Louis, MO 12/10/71",6,5TLjBcccKORzHW6hgmGnHX,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,473859,E,major,E major
0.426,0.072,9,-23.345,1,0.0569,0.838,0.00835,0.108,0.178,76.713,"Comes a Time - Live at the Fox Theatre, St. Louis, MO 12/10/71",7,55OVmKOuO9Nv37PKXjSTzO,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,495239,A,major,A major
0.57,0.425,9,-18.576,1,0.0363,0.695,0.21,0.136,0.809,132.351,"Truckin' - Live at the Fox Theatre, St. Louis, MO 12/10/71",1,1Qi3EhWT5DKuOnCxBxAaCq,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,504776,A,major,A major
0.534,0.369,6,-24.526,0,0.0543,0.0794,0.83,0.052,0.811,116.039,"Drums - Live at the Fox Theatre, St. Louis, MO 12/10/71",2,5sLK1txZBwaornUAVQxKp2,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,201209,F#,minor,F# minor
0.385,0.258,11,-23.592,0,0.041,0.716,0.532,0.117,0.283,104.771,"The Other One - Live at the Fox Theatre, St. Louis, MO 12/10/71",3,5wS9qq7dnccIo96EtOK92v,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,792578,B,minor,B minor
0.59,0.514,2,-17.703,1,0.0458,0.743,0.745,0.365,0.754,124.286,"Sitting on Top of the World - Live at the Fox Theatre, St. Louis, MO 12/10/71",4,2lueI3A6qpfIdP1mZNx66c,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,190021,D,major,D major
0.45,0.366,9,-20.279,1,0.0421,0.812,0.727,0.406,0.35,103.617,"The Other One, Pt. 2 - Live at the Fox Theatre, St. Louis, MO 12/10/71",5,7cfPv6WkoB2lqLYVavfkC6,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,362210,A,major,A major
0.587,0.467,9,-18.923,1,0.0331,0.568,0.789,0.154,0.873,97.994,"Not Fade Away, Pt. 1 - Live at the Fox Theatre, St. Louis, MO 12/10/71",6,6BCrzDd03xv1TVAllEwMqq,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,358310,A,major,A major
0.396,0.438,9,-19.328,1,0.041,0.547,0.307,0.222,0.566,95.911,"Goin' Down the Road Feeling Bad - Live at the Fox Theatre, St. Louis, MO 12/10/71",7,5lK07OIT400kGUQFqu2WLx,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,372841,A,major,A major
0.408,0.483,9,-16.373,1,0.106,0.513,0.39,0.727,0.488,95.059,"Not Fade Away, Pt. 2 - Live at the Fox Theatre, St. Louis, MO 12/10/71",8,5bEeROYwEYMxsLenu9xTPQ,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,238479,A,major,A major
0.47,0.615,5,-16.114,1,0.0398,0.493,0.227,0.704,0.899,170.54,"One More Saturday Night - Live at the Fox Theatre, St. Louis, MO 12/10/71",9,1mNMdBkDF8zltW9Y7fd2hY,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,292119,F,major,F major
0.561,0.611,7,-13.942,1,0.0326,0.371,0.802,0.591,0.943,89.4,"Bertha (Live at The Fillmore East, New York, NY, April 27, 1971) - 2021 Remaster",1,5AV4AmMLZCPNQueQwLtihA,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,342744,G,major,G major
0.629,0.459,2,-15.5,1,0.135,0.389,0.285,0.097,0.633,95.081,"Mama Tried (Live at The Fillmore East, New York, NY, April 26, 1971) - 2021 Remaster",2,7CAINVLO6my14ETggeE5Db,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,162510,D,major,D major
0.533,0.689,9,-12.809,1,0.0414,0.0879,0.336,0.367,0.94,147.892,"Big Railroad Blues (Live at The Fillmore East, New York, NY, April 5, 1971) - 2021 Remaster",3,0vKGvVsPMfUiYm0s1iLarX,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,215134,A,major,A major
0.529,0.506,2,-13.58,1,0.0298,0.0205,0.566,0.111,0.747,119.848,"Playing in the Band (Live at The Fillmore East, New York, NY, April 6, 1971) - 2021 Remaster",4,1Io8uWceQCnl9U4pp7Ikcq,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,5,282453,D,major,D major
0.421,0.32,2,-19.022,1,0.0407,0.486,0.891,0.105,0.438,104.555,"The Other One (Live at The Fillmore East, New York, NY, April 28, 1971) - 2021 Remaster",5,0nx1zRSfYTAYDpRY6xdLKt,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,1086373,D,major,D major
0.714,0.577,2,-14.318,1,0.0737,0.614,0.885,0.363,0.723,111.399,"Me & My Uncle (Live at The Fillmore East, New York, NY, April 29, 1971) - 2021 Remaster",6,0uefnY8PMo1UdIvhcLn9gA,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,183586,D,major,D major
0.627,0.411,9,-13.672,1,0.0303,0.361,0.198,0.819,0.609,120.774,"Big Boss Man (Live at The Fillmore East, New York, NY, April 26, 1971) - 2021 Remaster",7,4m6So0GGD3pX4E2YtOYTof,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,313177,A,major,A major
0.651,0.477,2,-14.804,1,0.0376,0.544,0.165,0.205,0.778,129.219,"Me & Bobby McGee (Live at The Fillmore East, New York, NY, April 27, 1971) - 2021 Remaster",8,5KCBAeyyZPpqPUuAykAz99,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,341100,D,major,D major
0.461,0.601,9,-13.392,1,0.0716,0.426,0.938,0.136,0.919,163.099,"Johnny B. Goode (Live at The Fillmore East, New York, NY, March 24, 1971) - 2021 Remaster",9,2vVkc9nXPLXuf5G7jQk6tB,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,228835,A,major,A major
0.41,0.432,2,-14.544,1,0.0311,0.149,0.15,0.102,0.375,119.923,"Wharf Rat (Live at The Fillmore East, New York, NY, April 26, 1971) - 2021 Remaster",10,4G9JpG2jU31pWGx1AwLm8w,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,509722,D,major,D major
0.487,0.432,9,-15.607,1,0.0331,0.175,0.805,0.11,0.75,90.262,"Not Fade Away / Goin' Down the Road Feeling Bad (Live at The Fillmore East, New York, NY, April 5, 1971) - 2021 Remaster",11,4jQERwmCWGi44lPt8Zl2Oz,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,550430,A,major,A major
0.563,0.421,5,-13.714,1,0.0381,0.693,0.296,0.356,0.705,92.827,"Good Lovin' (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",1,0T0xeskKYwotv8Bpkg96wA,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,1067866,F,major,F major
0.356,0.149,9,-15.257,1,0.0276,0.722,0.223,0.161,0.277,95.159,"Sing Me Back Home (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",2,0C0XkZtNBEJMzwtXJfgJxj,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,616054,A,major,A major
0.668,0.348,2,-12.592,1,0.0503,0.812,9.33e-4,0.141,0.692,89.921,"Mama Tried (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",3,1p6PTclqbmXQZOgCZPcLe6,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,188334,D,major,D major
0.387,0.122,11,-23.253,0,0.035,0.677,0.00917,0.177,0.485,102.899,"Cryptical Envelopment (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",4,0Tz5DoOO1g3PjZpcavivC1,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,145766,B,minor,B minor
0.382,0.617,6,-18.218,0,0.0568,0.00636,0.941,0.155,0.511,126.391,"Drums (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",5,4kEUsEd3f7k2BBlL8ZgXj8,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,313900,F#,minor,F# minor
0.401,0.481,11,-12.886,0,0.0356,0.638,0.412,0.715,0.451,98.656,"The Other One (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",6,5yheK66uMatccXQHj6jXaC,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,1,951933,B,minor,B minor
0.632,0.348,9,-12.385,1,0.0353,0.623,0.0767,0.857,0.695,115.92,"Big Boss Man (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",7,2Z0MrWmEOOSP77CUzi5LPR,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,327733,A,major,A major
0.648,0.447,9,-12.402,1,0.0334,0.704,0.421,0.0976,0.82,91.748,"Not Fade Away, Pt. 1 (Live at the Fillmore West, San Francisco, CA, July 2, 1971)",8,1ZmJcDokvtmFRP0u1Ddfrh,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],3kMxm04sEdG5qzVA3ZOGmH,4,237457,A,major,A major
