writer.1,writer.2,song.id,song.name,times.played
17,15,142,Standing On The Corner,3
22,7,142,Standing On The Corner,3
22,25,142,Standing On The Corner,3
22,17,142,Standing On The Corner,3
22,15,142,Standing On The Corner,3
25,7,142,Standing On The Corner,3
25,22,142,Standing On The Corner,3
25,17,142,Standing On The Corner,3
25,15,142,Standing On The Corner,3
7,14,143,Standing On The Moon,75
7,14,144,Stella Blue,328
22,22,145,The Stranger (Two Souls In Communion),12
25,14,146,Sugar Magnolia,594
7,14,147,Sugaree,357
25,14,148,Sunshine Daydream,31
8,8,149,Sunrise,30
25,2,150,Supplication,113
22,22,151,Tastebud,3
7,14,152,Tennessee Jed,433
12,15,153,Terrapin Flyer,1
7,14,154,Terrapin Station,302
12,15,155,Terrapin Transit,1
7,14,156,They Love Each Other,227
25,2,157,This Time Forever,1
2,25,157,This Time Forever,1
25,2,158,Throwing Stones,265
7,14,159,Till The Morning Comes,5
7,14,160,To Lay Me Down,63
19,19,161,Tons Of Steel,29
7,14,162,Touch Of Grey,213
7,14,163,Truckin',519
7,17,163,Truckin',519
7,25,163,Truckin',519
14,7,163,Truckin',519
14,17,163,Truckin',519
14,25,163,Truckin',519
17,14,163,Truckin',519
17,7,163,Truckin',519
17,25,163,Truckin',519
25,14,163,Truckin',519
25,17,163,Truckin',519
25,7,163,Truckin',519
7,14,164,U.S.Blues,323
17,21,165,Unbroken Chain,10
7,14,166,Uncle John's Band,332
7,14,167,Unusual Occurrences In The Desert,3
13,13,168,The Valley Road,6
25,10,169,Victim Or The Crime,96
7,14,170,Wave That Flag,15
17,14,171,Wave To The Wind,21
26,14,172,Way To Go Home,92
14,3,172,Way To Go Home,92
3,26,172,Way To Go Home,92
19,2,173,We Can Run,22
25,25,174,Weather Report Suite Prelude,52
25,1,175,Weather Report Suite Part 1,47
7,14,176,West L.A. Fadeaway,140
7,14,177,Wharf Rat,394
7,14,178,What'll You Raise,1
7,14,179,What's Become Of The Baby,1
7,14,180,The Wheel,258
14,15,180,The Wheel,258
15,7,180,The Wheel,258
7,14,180,When Push Comes To Shove,58
7,25,181,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
7,15,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
7,22,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
7,17,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
15,7,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
15,25,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
15,22,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
15,17,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
17,7,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
17,25,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
17,22,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
17,15,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
22,7,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
22,25,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
22,17,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
22,15,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
25,7,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
25,22,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
25,17,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
25,15,182,You Don't Have To Ask (aka Otis on a Shakedown Cruise),5
22,22,183,You See A Broken Heart,1
